transaction_id,user_id,amount
1,82,240
2,54,6722
3,29,8968
4,101,2366
5,127,8980
6,37,2597
7,128,8510
8,170,4541
9,49,5871
10,166,5634
11,11,5303
12,129,6870
13,82,7310
14,88,3826
15,169,9305
16,148,4070
17,169,8264
18,175,9258
19,74,4525
20,97,8549
21,159,7211
22,47,3753
23,64,451
24,25,6287
25,58,5622
26,189,9593
27,188,8926
28,99,3151
29,178,2314
30,72,6454
31,199,7203
32,11,2944
33,89,4012
34,30,7376
35,174,3525
36,183,9842
37,85,6837
38,48,3506
39,67,8259
40,52,782
41,110,2524
42,159,1257
43,125,4235
44,188,2900
45,97,8548
46,16,2700
47,85,5958
48,107,1540
49,5,5068
50,7,3299
51,110,6118
52,66,5011
53,165,3882
54,166,662
55,60,5278
56,129,5676
57,23,8034
58,178,1647
59,20,3471
60,89,1291
61,5,3726
62,149,3689
63,85,1384
64,8,3332
65,95,3757
66,138,3890
67,69,978
68,36,7715
69,66,2513
70,171,7727
71,159,5171
72,89,1584
73,168,6377
74,130,1212
75,176,9301
76,69,6753
77,48,6439
78,53,5016
79,32,7401
80,47,4216
81,24,1227
82,70,7628
83,200,9420
84,105,1442
85,117,5516
86,61,9499
87,162,1300
88,134,849
89,83,2665
90,112,694
91,138,7501
92,118,8660
93,142,6099
94,73,6452
95,20,1543
96,200,9247
97,27,1765
98,90,3965
99,134,2786
100,148,9318
101,130,2824
102,82,3875
103,30,9460
104,160,2660
105,87,3852
106,44,7498
107,71,2997
108,46,8221
109,81,3576
110,192,9711
111,138,3903
112,81,8447
113,18,6086
114,75,5446
115,175,7087
116,93,1099
117,112,4247
118,112,8564
119,182,2437
120,132,1480
121,30,6874
122,56,8845
123,104,4900
124,148,4498
125,27,8744
126,133,419
127,109,1267
128,21,6591
129,30,1183
130,68,3130
131,159,7644
132,79,8894
133,117,434
134,151,6422
135,191,7817
136,98,4704
137,126,3678
138,198,3365
139,167,1398
140,94,9885
141,21,1615
142,152,9038
143,62,8699
144,191,2656
145,166,5730
146,182,8891
147,57,4628
148,98,7799
149,6,7346
150,90,5184
151,186,3180
152,25,2949
153,58,4256
154,99,711
155,30,4047
156,185,8024
157,29,8300
158,43,6791
159,112,3016
160,56,7935
161,128,5920
162,110,2827
163,112,2194
164,114,8333
165,158,7947
166,27,7320
167,73,714
168,87,8512
169,125,4261
170,28,9401
171,143,167
172,158,5268
173,109,2861
174,167,970
175,38,2517
176,108,496
177,176,8564
178,172,5092
179,185,5216
180,24,250
181,159,1388
182,186,1148
183,90,2860
184,18,7036
185,12,7412
186,147,3085
187,118,4715
188,97,8048
189,178,384
190,34,8262
191,64,4401
192,195,7081
193,71,4658
194,177,3876
195,112,4679
196,165,6901
197,5,4949
198,57,5683
199,76,2728
200,72,3461
201,105,2926
202,24,5015
203,41,3776
204,133,575
205,140,8991
206,41,7099
207,181,7994
208,106,9436
209,61,864
210,105,4610
211,62,8112
212,29,2592
213,55,5559
214,187,8845
215,65,8449
216,172,1393
217,102,4741
218,168,4861
219,131,2031
220,19,8210
221,12,8069
222,86,2418
223,66,3714
224,131,761
225,117,8025
226,124,9848
227,114,1066
228,99,7524
229,144,6593
230,84,4471
231,89,6054
232,2,975
233,42,637
234,196,5965
235,32,4070
236,17,3904
237,93,8989
238,92,7448
239,72,7424
240,124,9948
241,87,4477
242,178,7236
243,171,2277
244,42,8164
245,104,8883
246,59,2579
247,157,6387
248,16,2250
249,103,5299
250,135,510
251,179,296
252,15,8862
253,90,5985
254,18,7546
255,165,6878
256,64,8171
257,32,7946
258,170,9596
259,112,3216
260,108,7863
261,190,4255
262,171,2902
263,46,8139
264,4,2487
265,66,8110
266,72,1974
267,141,9436
268,14,9066
269,193,1959
270,86,6786
271,78,9962
272,97,3115
273,111,3374
274,169,6216
275,12,9963
276,129,4800
277,164,8335
278,150,6244
279,43,4278
280,168,7372
281,89,8746
282,62,6820
283,108,6582
284,1,5611
285,45,5062
286,191,8142
287,62,6634
288,17,9684
289,19,1214
290,194,320
291,84,4334
292,111,9559
293,154,9028
294,29,747
295,129,5819
296,160,6030
297,10,2852
298,91,9846
299,30,2690
300,143,1031
301,43,8419
302,102,1543
303,143,9016
304,185,7031
305,17,5867
306,76,2358
307,57,4797
308,111,6278
309,35,4537
310,146,4339
311,61,4307
312,195,4901
313,172,1117
314,58,7749
315,47,5682
316,4,6295
317,40,9035
318,59,7414
319,30,1100
320,146,9657
321,105,6720
322,49,284
323,15,7656
324,64,5732
325,32,9610
326,160,3782
327,88,3414
328,48,7623
329,106,8359
330,159,5004
331,179,7422
332,69,9352
